Municipality,Percentage Smart Meters,Consumption per Contract
Abrantes,88,396316.4
Aguiar da Beira,99,65172.6
Alandroal,80,219285
Albergaria-a-Velha,96,1295308.1
Albufeira,94,4123914.4
Alcanena,95,359569.4
Alcobaça,93,772106.5
Alcochete,99,1361293
Alcoutim,76,71999.9
Alcácer do Sal,99,956214.1
Alenquer,99,913868.1
Alfândega da Fé,98,32415.3
Alijó,77,70120.2
Aljezur,79,237989.5
Aljustrel,96,1633310.5
Almada,98,3854080.7
Almeida,98,36956
Almeirim,91,845261.3
Almodôvar,97,131589.7
Alpiarça,98,2009477.5
Alter do Chão,98,100821.7
Alvaiázere,99,122087.9
Alvito,99,505683.1
Amadora,98,3137996.5
Amarante,78,177040.9
Amares,95,109153.4
Anadia,87,495742.4
Ansião,99,243274
Arcos de Valdevez,95,103453.5
Arganil,67,141166.3
Armamar,99,70468.2
Arouca,78,127066.6
Arraiolos,84,201210.9
Arronches,85,133123.8
Arruda dos Vinhos,99,373095.8
Aveiro,99,3160675.4
Avis,99,361612
Azambuja,99,892993.1
Baião,94,93471.7
Barcelos,88,280535.8
Barrancos,98,184608
Barreiro,99,1918115.8
Batalha,99,932411.2
Beja,99,1891088.5
Belmonte,97,133830.9
Benavente,97,1537240
Bombarral,99,400489.2
Borba,73,200909.8
Boticas,88,66789
Braga,93,780233.6
Bragança,91,123631.6
Cabeceiras de Basto,89,105230.2
Cadaval,88,210837
Caldas da Rainha,99,639806.2
Caminha,98,128881.1
Campo Maior,98,750954.1
Cantanhede,90,604044.3
Carrazeda de Ansiães,99,38151.1
Carregal do Sal,97,219906.2
Cartaxo,96,676225.2
Cascais,96,6186608.1
Castanheira de Pêra,97,383849.2
Castelo Branco,88,427973.2
Castelo de Paiva,99,310838.7
Castelo de Vide,97,151517.3
Castro daire,85,77385.6
Castro Marim,80,559125.1
Castro Verde,98,187886.4
Celorico da Beira,99,44024.9
Celorico de Basto,86,110060.7
Chamusca,97,529043.3
Chaves,93,113494.9
Cinfães,65,86786
Coimbra,99,1486171
Condeixa-a-Nova,99,273210.8
Constância,99,1115544.2
Coruche,98,678328.3
Covilhã,94,394187.6
Crato,98,93022.9
Cuba,99,205777.4
Elvas,92,433092
Entroncamento,99,1439504.2
Espinho,99,823088.4
Esposende,99,529074
Estarreja,98,5467142.3
Estremoz,90,211607.9
Fafe,89,208765.6
Faro,95,2701202.4
Felgueiras,81,325057.3
Ferreira do Alentejo,99,803273
Ferreira do Zêzere,98,243857.3
Figueira da Foz,84,3528971
Figueira de Castelo Rodrigo,98,49515.8
Figueiró dos Vinhos,98,137595.9
Fornos de Algodres,99,34725.1
Freixo de Espada À Cinta,97,76685.5
Fronteira,99,131348.8
Fundão,99,161711.4
Gavião,99,99229.3
Golegã,99,510836.4
Gondomar,86,2129482.9
Gouveia,99,72538.7
Grândola,99,885271.1
Guarda,92,164231.8
Guimarães,95,572274.6
Góis,92,98904.7
Idanha-a-Nova,80,118124.3
Lagoa,98,1520522.6
Lagos,91,1753356.7
Lamego,99,258574.6
Leiria,95,1489478.9
Lisboa,98,5003016.6
Loulé,90,2585923.1
Loures,97,2710364.7
Lourinhã,99,417504.9
Lousada,96,273659.1
Lousã,99,511614.8
Macedo de Cavaleiros,94,45696
Mafra,94,947755.7
Maia,97,4935799.4
Mangualde,98,517759.8
Manteigas,97,87004.5
Marco de Canaveses,84,330838.9
Marinha Grande,99,9236298.7
Marvão,69,101636.3
Matosinhos,95,6314326.8
Mação,93,144872.4
Mealhada,98,573700.1
Melgaço,88,58564.5
Mesão Frio,98,50892.7
Mira,99,599450.7
Miranda do Corvo,97,239478.1
Miranda do douro,95,64287.8
Mirandela,98,82957.1
Mogadouro,95,43700.1
Moimenta da Beira,97,72823.2
Moita,97,1180249.8
Monchique,78,284089.3
Mondim de Basto,96,97136
Monforte,97,103124.8
Montalegre,70,34319
Montemor-o-Novo,99,405052.1
Montemor-o-Velho,61,184759.1
Montijo,99,1665393.5
Monção,96,98184.8
Mora,80,164197.7
Mortágua,96,278782
Moura,98,490233
